<http://www.wikidata.org/entity/Q6199>	anarchism
<http://www.wikidata.org/entity/Q11826>	Al-Biruni
<http://www.wikidata.org/entity/Q209928>	madhhab
<http://www.wikidata.org/entity/Q165811>	flag of Chad
<http://www.wikidata.org/entity/Q167584>	flag of Moldova
<http://www.wikidata.org/entity/Q179759>	Al-Kindi
<http://www.wikidata.org/entity/Q491558>	Ibn Taymiyyah
<http://www.wikidata.org/entity/Q312299>	Malik ibn Anas
<http://www.wikidata.org/entity/Q190944>	Jean Bodin
<http://www.wikidata.org/entity/Q188634>	Matthias Corvinus
<http://www.wikidata.org/entity/Q187456>	bar
<http://www.wikidata.org/entity/Q138198>	Spanish Socialist Workers' Party
<http://www.wikidata.org/entity/Q192258>	Quidditch Through the Ages
<http://www.wikidata.org/entity/Q294942>	Aristides
<http://www.wikidata.org/entity/Q184602>	Iran national football team
<http://www.wikidata.org/entity/Q208151>	León
<http://www.wikidata.org/entity/Q126216>	Black-crowned night heron
<http://www.wikidata.org/entity/Q175329>	sand cat
<http://www.wikidata.org/entity/Q205648>	Granada
<http://www.wikidata.org/entity/Q42623>	Jungle Cat
<http://www.wikidata.org/entity/Q204814>	black-footed cat
<http://www.wikidata.org/entity/Q157245>	Michael Spence
<http://www.wikidata.org/entity/Q306201>	Devils Tower
<http://www.wikidata.org/entity/Q204322>	Felis bieti
<http://www.wikidata.org/entity/Q185635>	tusk
<http://www.wikidata.org/entity/Q156799>	Felipe González
<http://www.wikidata.org/entity/Q203708>	Manuel Azaña
<http://www.wikidata.org/entity/Q192784>	Trajan's Column
<http://www.wikidata.org/entity/Q188515>	Los Angeles Times
<http://www.wikidata.org/entity/Q381045>	oath
<http://www.wikidata.org/entity/Q39659>	Jacques Santer
<http://www.wikidata.org/entity/Q188668>	Thom Yorke
<http://www.wikidata.org/entity/Q143059>	Johannes Ockeghem
<http://www.wikidata.org/entity/Q170525>	Agadir
<http://www.wikidata.org/entity/Q87610>	Michiko
<http://www.wikidata.org/entity/Q131709>	Little egret
<http://www.wikidata.org/entity/Q166794>	Otocolobus manul
<http://www.wikidata.org/entity/Q51488>	John Cassavetes
<http://www.wikidata.org/entity/Q192233>	Pardofelis temminckii
<http://www.wikidata.org/entity/Q238955>	Dolores Ibárruri
<http://www.wikidata.org/entity/Q234953>	Shaivism
<http://www.wikidata.org/entity/Q76844>	Ulrich Beck
<http://www.wikidata.org/entity/Q213044>	Pardofelis badia
<http://www.wikidata.org/entity/Q192231>	Profelis aurata
<http://www.wikidata.org/entity/Q177929>	stack
<http://www.wikidata.org/entity/Q13750>	Benguet
<http://www.wikidata.org/entity/Q3699>	Revolutions of 1848 in the German states
<http://www.wikidata.org/entity/Q224711>	Nelson
<http://www.wikidata.org/entity/Q21206>	Alaskan Malamute
<http://www.wikidata.org/entity/Q208221>	sunbird
<http://www.wikidata.org/entity/Q10468>	Cepheus
<http://www.wikidata.org/entity/Q102158>	Narva
<http://www.wikidata.org/entity/Q102365>	Pärnu
<http://www.wikidata.org/entity/Q244393>	dwarf star
<http://www.wikidata.org/entity/Q164782>	Ashton Kutcher
<http://www.wikidata.org/entity/Q208072>	That '70s Show
<http://www.wikidata.org/entity/Q160173>	Ruse
<http://www.wikidata.org/entity/Q13728>	Apayao
<http://www.wikidata.org/entity/Q13827>	Kalinga
<http://www.wikidata.org/entity/Q178821>	Black-winged Stilt
<http://www.wikidata.org/entity/Q461786>	Jizya
<http://www.wikidata.org/entity/Q200323>	decimeter
<http://www.wikidata.org/entity/Q173959>	Al Azhar
<http://www.wikidata.org/entity/Q122069>	roe deer
<http://www.wikidata.org/entity/Q153861>	tularemia
<http://www.wikidata.org/entity/Q223517>	Ahmednagar
<http://www.wikidata.org/entity/Q80462>	Mark David Chapman
<http://www.wikidata.org/entity/Q223689>	Pietà
<http://www.wikidata.org/entity/Q231360>	Gertrude Bell
<http://www.wikidata.org/entity/Q135595>	languages of India
<http://www.wikidata.org/entity/Q174205>	Russo-Turkish War of 1877–78
<http://www.wikidata.org/entity/Q295207>	Joel Schumacher
<http://www.wikidata.org/entity/Q49192>	Middletown
<http://www.wikidata.org/entity/Q193016>	Campina Grande
<http://www.wikidata.org/entity/Q42699>	Serval
<http://www.wikidata.org/entity/Q187909>	agora
<http://www.wikidata.org/entity/Q295999>	Ferid Murad
<http://www.wikidata.org/entity/Q157209>	Lathyrus
<http://www.wikidata.org/entity/Q43375>	Eurasian lynx
<http://www.wikidata.org/entity/Q1026>	Poles
<http://www.wikidata.org/entity/Q129727>	Iberian lynx
<http://www.wikidata.org/entity/Q273291>	hermit crab
<http://www.wikidata.org/entity/Q204299>	Frances McDormand
<http://www.wikidata.org/entity/Q178459>	Ikebana
<http://www.wikidata.org/entity/Q465924>	cynology
<http://www.wikidata.org/entity/Q209175>	Kim Cattrall
<http://www.wikidata.org/entity/Q230003>	Lok Sabha
<http://www.wikidata.org/entity/Q55303>	John Schlesinger
<http://www.wikidata.org/entity/Q20892>	Le Mont-Saint-Michel
<http://www.wikidata.org/entity/Q1374>	Matterhorn
<http://www.wikidata.org/entity/Q154824>	Norman Borlaug
<http://www.wikidata.org/entity/Q15312>	Jungfrau
<http://www.wikidata.org/entity/Q333911>	Will Durant
<http://www.wikidata.org/entity/Q189898>	emirate
<http://www.wikidata.org/entity/Q107450>	Frank Wilczek
<http://www.wikidata.org/entity/Q46052>	Anders Fogh Rasmussen
<http://www.wikidata.org/entity/Q337907>	woodcarving
<http://www.wikidata.org/entity/Q174984>	signal
<http://www.wikidata.org/entity/Q191796>	cameo appearance
<http://www.wikidata.org/entity/Q146457>	Canada lynx
<http://www.wikidata.org/entity/Q183539>	County Louth
<http://www.wikidata.org/entity/Q2460567>	turban
<http://www.wikidata.org/entity/Q1061151>	massif
<http://www.wikidata.org/entity/Q181559>	camphor
<http://www.wikidata.org/entity/Q30847>	caracal
<http://www.wikidata.org/entity/Q131744>	list of cities in Croatia
<http://www.wikidata.org/entity/Q157683>	Sphingidae
<http://www.wikidata.org/entity/Q10627>	Lycosidae
<http://www.wikidata.org/entity/Q212940>	Islamic architecture
<http://www.wikidata.org/entity/Q11687>	Salticidae
<http://www.wikidata.org/entity/Q229176>	Kristin Davis
<http://www.wikidata.org/entity/Q488532>	Rorschach test
<http://www.wikidata.org/entity/Q189672>	county of Estonia
<http://www.wikidata.org/entity/Q319896>	Ze'ev Jabotinsky
<http://www.wikidata.org/entity/Q199884>	Anna Paquin
<http://www.wikidata.org/entity/Q81819>	Monica Bellucci
<http://www.wikidata.org/entity/Q60036>	Heidi Klum
<http://www.wikidata.org/entity/Q212531>	Kate Moss
<http://www.wikidata.org/entity/Q215366>	Portia de Rossi
<http://www.wikidata.org/entity/Q224097>	Elle Macpherson
<http://www.wikidata.org/entity/Q13179>	raspberry
<http://www.wikidata.org/entity/Q489856>	Haley Joel Osment
<http://www.wikidata.org/entity/Q42627>	leopard cat
<http://www.wikidata.org/entity/Q309274>	Rusty-spotted cat
<http://www.wikidata.org/entity/Q92830>	Subhash Kak
<http://www.wikidata.org/entity/Q190674>	fishing cat
<http://www.wikidata.org/entity/Q28517>	Todor Zhivkov
<http://www.wikidata.org/entity/Q60429>	C. V. Raman
<http://www.wikidata.org/entity/Q203698>	deus ex machina
<http://www.wikidata.org/entity/Q105777>	Homo ergaster.
<http://www.wikidata.org/entity/Q552581>	SAP SE
<http://www.wikidata.org/entity/Q81611>	Gulf of Aqaba
<http://www.wikidata.org/entity/Q192577>	Simon Kuznets
<http://www.wikidata.org/entity/Q1137321>	onchocerciasis
<http://www.wikidata.org/entity/Q843894>	critical thinking
<http://www.wikidata.org/entity/Q162629>	Simon Cowell
<http://www.wikidata.org/entity/Q183416>	Windward Islands
<http://www.wikidata.org/entity/Q193475>	menhir
<http://www.wikidata.org/entity/Q485673>	Garbage
<http://www.wikidata.org/entity/Q217841>	Liévin
<http://www.wikidata.org/entity/Q211230>	Syros
<http://www.wikidata.org/entity/Q107940>	Star Trek: The Motion Picture
<http://www.wikidata.org/entity/Q105682>	Tom Felton
<http://www.wikidata.org/entity/Q179630>	syndrome
<http://www.wikidata.org/entity/Q210115>	freethought
<http://www.wikidata.org/entity/Q274177>	Flat-headed cat
<http://www.wikidata.org/entity/Q217438>	demonym
<http://www.wikidata.org/entity/Q213165>	Immortals
<http://www.wikidata.org/entity/Q43302>	wind power
<http://www.wikidata.org/entity/Q181395>	magnetite
<http://www.wikidata.org/entity/Q49958>	opinion poll
<http://www.wikidata.org/entity/Q212026>	Mira Sorvino
<http://www.wikidata.org/entity/Q213706>	Tom Selleck
<http://www.wikidata.org/entity/Q20178>	Joe Pesci
<http://www.wikidata.org/entity/Q320930>	Cao Wei
<http://www.wikidata.org/entity/Q171080>	Kotor
<http://www.wikidata.org/entity/Q173338>	Cetinje
<http://www.wikidata.org/entity/Q286890>	Harold Ramis
<http://www.wikidata.org/entity/Q26816>	Common Ringed Plover
<http://www.wikidata.org/entity/Q190469>	Carcharhinus leucas
<http://www.wikidata.org/entity/Q211601>	Ploceidae
<http://www.wikidata.org/entity/Q240553>	strength of materials
<http://www.wikidata.org/entity/Q1130645>	open-source software
<http://www.wikidata.org/entity/Q219424>	Scary Movie
<http://www.wikidata.org/entity/Q28989>	graf
<http://www.wikidata.org/entity/Q4491>	Anna Faris
<http://www.wikidata.org/entity/Q312557>	V. V. Giri
<http://www.wikidata.org/entity/Q374365>	Jeddah
<http://www.wikidata.org/entity/Q179414>	Kate Beckinsale
<http://www.wikidata.org/entity/Q193245>	Carnation Revolution
<http://www.wikidata.org/entity/Q298276>	Michael Sheen
<http://www.wikidata.org/entity/Q316901>	Edi Rama
<http://www.wikidata.org/entity/Q55018>	Royal Opera House
<http://www.wikidata.org/entity/Q182760>	Feta
<http://www.wikidata.org/entity/Q11269>	New Year's Eves
<http://www.wikidata.org/entity/Q199786>	Swan Lake
<http://www.wikidata.org/entity/Q42745>	Rita Hayworth
<http://www.wikidata.org/entity/Q243213>	Mountain zebra
<http://www.wikidata.org/entity/Q103939>	Charlie Sheen
<http://www.wikidata.org/entity/Q274488>	Eastern Wu
<http://www.wikidata.org/entity/Q351156>	Adam West
<http://www.wikidata.org/entity/Q1480>	Corazon Aquino
<http://www.wikidata.org/entity/Q222805>	Benigno Aquino Jr.
<http://www.wikidata.org/entity/Q212733>	Joseph Estrada
<http://www.wikidata.org/entity/Q1464>	Benigno Aquino III
<http://www.wikidata.org/entity/Q180344>	Oceania Football Confederation
<http://www.wikidata.org/entity/Q142702>	Malays
<http://www.wikidata.org/entity/Q211435>	Viceroyalty of Perú
<http://www.wikidata.org/entity/Q8721>	Glasgow Airport
<http://www.wikidata.org/entity/Q634299>	fire hydrant
<http://www.wikidata.org/entity/Q240540>	Lamphun
<http://www.wikidata.org/entity/Q82990>	numerical digit
<http://www.wikidata.org/entity/Q185147>	Gary Moore
<http://www.wikidata.org/entity/Q51114>	John Ford
<http://www.wikidata.org/entity/Q38964>	International Women's Day
<http://www.wikidata.org/entity/Q208498>	confidence interval
<http://www.wikidata.org/entity/Q185105>	Fernand Braudel
<http://www.wikidata.org/entity/Q242741>	Erechtheion
<http://www.wikidata.org/entity/Q170885>	essential oil
<http://www.wikidata.org/entity/Q139637>	David Copperfield
<http://www.wikidata.org/entity/Q45747>	Viswanathan Anand
<http://www.wikidata.org/entity/Q39769>	George
<http://www.wikidata.org/entity/Q272224>	Norman Angell
<http://www.wikidata.org/entity/Q183173>	hygrometer
<http://www.wikidata.org/entity/Q104363>	anvil
<http://www.wikidata.org/entity/Q28236>	European Herring Gull
<http://www.wikidata.org/entity/Q79692>	3G
<http://www.wikidata.org/entity/Q839526>	Drongo
<http://www.wikidata.org/entity/Q154751>	Nicholas of Cusa
<http://www.wikidata.org/entity/Q241243>	Provençal
<http://www.wikidata.org/entity/Q20571>	Spoleto
<http://www.wikidata.org/entity/Q165896>	prism
<http://www.wikidata.org/entity/Q180544>	prism
<http://www.wikidata.org/entity/Q223314>	Qaanaaq
<http://www.wikidata.org/entity/Q204658>	Aletsch Glacier
<http://www.wikidata.org/entity/Q180809>	mass spectrometry
<http://www.wikidata.org/entity/Q200311>	Mathura
<http://www.wikidata.org/entity/Q208038>	Čačak
<http://www.wikidata.org/entity/Q474651>	Gjakova
<http://www.wikidata.org/entity/Q309355>	Kikinda
<http://www.wikidata.org/entity/Q178168>	Mitrovica
<http://www.wikidata.org/entity/Q206317>	Kraljevo
<http://www.wikidata.org/entity/Q201442>	Kruševac
<http://www.wikidata.org/entity/Q192606>	Leskovac
<http://www.wikidata.org/entity/Q200733>	Nikšić
<http://www.wikidata.org/entity/Q202453>	Novi Pazar
<http://www.wikidata.org/entity/Q112657>	Pejë
<http://www.wikidata.org/entity/Q211343>	Pljevlja
<http://www.wikidata.org/entity/Q199942>	Požarevac
<http://www.wikidata.org/entity/Q200061>	Prizren
<http://www.wikidata.org/entity/Q230186>	Pan American Games
<http://www.wikidata.org/entity/Q190774>	Smederevo
<http://www.wikidata.org/entity/Q204475>	Sombor
<http://www.wikidata.org/entity/Q242733>	Sremska Mitrovica
<http://www.wikidata.org/entity/Q59473>	Užice
<http://www.wikidata.org/entity/Q211645>	Vranje
<http://www.wikidata.org/entity/Q209329>	Vršac
<http://www.wikidata.org/entity/Q144495>	Zaječar
<http://www.wikidata.org/entity/Q51103>	Cali
<http://www.wikidata.org/entity/Q201125>	Zrenjanin
<http://www.wikidata.org/entity/Q25376>	Eurasian Coot
<http://www.wikidata.org/entity/Q637533>	Coot
<http://www.wikidata.org/entity/Q52607>	Mar del Plata
<http://www.wikidata.org/entity/Q185963>	neutral country
<http://www.wikidata.org/entity/Q476921>	kidney failure
<http://www.wikidata.org/entity/Q42410>	Evo Morales
<http://www.wikidata.org/entity/Q1475>	Quezon City
<http://www.wikidata.org/entity/Q93358>	Oradea
<http://www.wikidata.org/entity/Q215603>	Ptilonorhynchidae
<http://www.wikidata.org/entity/Q192997>	instrumental case
<http://www.wikidata.org/entity/Q750583>	Southern Rhodesia
<http://www.wikidata.org/entity/Q212776>	1812 Overture
<http://www.wikidata.org/entity/Q1225991>	State Anthem of the Russian Federation
<http://www.wikidata.org/entity/Q10497>	Freising
<http://www.wikidata.org/entity/Q1027830>	Gotland
<http://www.wikidata.org/entity/Q239276>	Öland
<http://www.wikidata.org/entity/Q244618>	Phayao
<http://www.wikidata.org/entity/Q156401>	Chicken Run
<http://www.wikidata.org/entity/Q185083>	Brahmi script
<http://www.wikidata.org/entity/Q193584>	Ministry of Magic
<http://www.wikidata.org/entity/Q231171>	Fabiola of Belgium
<http://www.wikidata.org/entity/Q168154>	Once Upon a Time in the West
<http://www.wikidata.org/entity/Q202534>	recitative
<http://www.wikidata.org/entity/Q211649>	Norrbotten
<http://www.wikidata.org/entity/Q319642>	Chevron Corporation
<http://www.wikidata.org/entity/Q486609>	Anastasia
<http://www.wikidata.org/entity/Q109255>	Bernard Hinault
<http://www.wikidata.org/entity/Q159545>	Cornus
<http://www.wikidata.org/entity/Q20921>	Daejeon
<http://www.wikidata.org/entity/Q13864>	Northern Samar
<http://www.wikidata.org/entity/Q13809>	Eastern Samar
<http://www.wikidata.org/entity/Q13876>	Samar
<http://www.wikidata.org/entity/Q314771>	Maurice Sendak
<http://www.wikidata.org/entity/Q8675>	Draco
<http://www.wikidata.org/entity/Q208322>	carousel
<http://www.wikidata.org/entity/Q80378>	whale shark
<http://www.wikidata.org/entity/Q193705>	The Nutcracker
<http://www.wikidata.org/entity/Q205948>	oncilla
<http://www.wikidata.org/entity/Q193937>	Nantua
<http://www.wikidata.org/entity/Q26853>	Camilo Cienfuegos
<http://www.wikidata.org/entity/Q219764>	ATR 72
<http://www.wikidata.org/entity/Q127990>	Australian National University
<http://www.wikidata.org/entity/Q198654>	pineal gland
<http://www.wikidata.org/entity/Q180912>	melatonin
<http://www.wikidata.org/entity/Q3748>	Monrovia
<http://www.wikidata.org/entity/Q332748>	trachyte
<http://www.wikidata.org/entity/Q181908>	andesite
<http://www.wikidata.org/entity/Q213843>	ubuntu
<http://www.wikidata.org/entity/Q207308>	Falange
<http://www.wikidata.org/entity/Q223079>	Quirinal Palace
<http://www.wikidata.org/entity/Q213021>	Gentoo Penguin
<http://www.wikidata.org/entity/Q170076>	Jean Dubuffet
<http://www.wikidata.org/entity/Q160783>	Michel Tournier
<http://www.wikidata.org/entity/Q297057>	Frederick Chiluba
<http://www.wikidata.org/entity/Q6434>	Fulda
<http://www.wikidata.org/entity/Q7733>	New York City Subway
<http://www.wikidata.org/entity/Q133118>	Şanlıurfa
<http://www.wikidata.org/entity/Q244652>	Phrae
<http://www.wikidata.org/entity/Q7250>	Wang Mang
<http://www.wikidata.org/entity/Q504769>	Xin dynasty
<http://www.wikidata.org/entity/Q4168>	Loreley
<http://www.wikidata.org/entity/Q179839>	Golden Horn
<http://www.wikidata.org/entity/Q185137>	thalassemia
<http://www.wikidata.org/entity/Q33540>	limit of a function
<http://www.wikidata.org/entity/Q512737>	Marabou Stork
<http://www.wikidata.org/entity/Q5724>	Anuradhapura
<http://www.wikidata.org/entity/Q1467>	Cebu City
<http://www.wikidata.org/entity/Q423800>	Chapalapachala xdi
<http://www.wikidata.org/entity/Q36468>	unicellular organism
<http://www.wikidata.org/entity/Q406643>	AirAsia
<http://www.wikidata.org/entity/Q209041>	platonic love
<http://www.wikidata.org/entity/Q169336>	mixture
<http://www.wikidata.org/entity/Q212058>	Levy Mwanawasa
<http://www.wikidata.org/entity/Q25257>	precipitation
<http://www.wikidata.org/entity/Q113796>	precipitation
<http://www.wikidata.org/entity/Q200437>	Stalker
<http://www.wikidata.org/entity/Q171927>	Pygmy people
<http://www.wikidata.org/entity/Q158075>	Gutenberg Bible
<http://www.wikidata.org/entity/Q44777>	indulgence
<http://www.wikidata.org/entity/Q203601>	pneumothorax
<http://www.wikidata.org/entity/Q193484>	assassination of John F. Kennedy
<http://www.wikidata.org/entity/Q242369>	lesser flamingo
<http://www.wikidata.org/entity/Q160899>	Unter den Linden
<http://www.wikidata.org/entity/Q209029>	Ford Focus
<http://www.wikidata.org/entity/Q189709>	Star Alliance
<http://www.wikidata.org/entity/Q25440>	Great Cormorant
<http://www.wikidata.org/entity/Q179848>	Scramble for Africa
<http://www.wikidata.org/entity/Q171639>	Ashdod
<http://www.wikidata.org/entity/Q181043>	dissident
<http://www.wikidata.org/entity/Q194236>	separatism
<http://www.wikidata.org/entity/Q194166>	consortium
<http://www.wikidata.org/entity/Q82194>	flag of Brazil
<http://www.wikidata.org/entity/Q81851>	bastion
<http://www.wikidata.org/entity/Q376346>	web color
<http://www.wikidata.org/entity/Q194376>	flash point
<http://www.wikidata.org/entity/Q424418>	nitrogen oxide
<http://www.wikidata.org/entity/Q193343>	tectonics
<http://www.wikidata.org/entity/Q172284>	Lady and the Tramp
<http://www.wikidata.org/entity/Q244434>	Lady and the Tramp II: Scamp's Adventure
<http://www.wikidata.org/entity/Q212188>	S. R. Nathan
<http://www.wikidata.org/entity/Q58958>	sanderling
<http://www.wikidata.org/entity/Q296698>	Costa-Gavras
